sentiment,sentence,lang
positive,"La tecnología GeoSolutions aprovechará las soluciones GPS de Benefon al proporcionar la tecnología de búsqueda basada en la ubicación , una plataforma de comunidades , la ubicación de contenido multimedia relevante y un nuevo y potente modelo comercial .",es
negative,"$ESI en mínimos, bajar $1,50 a $2,50 BK una posibilidad real",es
positive,"En el último trimestre del 2010 , las ventas netas de Componenta se duplicaron hasta situarse en 131 millones de euros frente a los 76 millones de euros del mismo período del año anterior , mientras que pasaron a un beneficio antes de impuestos cero de una pérdida de 7 millones de euros antes de impuestos .",es
neutral,"Según la Cámara de Comercio Finlandesa-Rusa , todas las grandes empresas de construcción de Finlandia operan en Rusia .",es
neutral,"La empresa sueca de compra ha vendido su participación restante del 22,4% , casi dieciocho meses después de hacer pública la empresa en Finlandia .",es
positive,$SPY no se sorprendería de ver un cierre verde,es
negative,Shell's $70 mil millones BG Deal cumple con el escepticismo de los accionistas,es
negative,SSH COMUNICACIONES SEGURIDAD CORP STOCK INTERCAMBIO DIFUSIÓN 14 DE OCTUBRE DE 2008 A las 2:45 PM La Compañía actualiza sus perspectivas de año completo y estima que sus resultados permanecerán perdidos durante todo el año .,es
positive,Las ventas netas de Kone aumentaron un 14 % interanual en los nueve primeros meses del 2008 .,es
neutral,Los grandes almacenes Stockmann tendrán una superficie total de más de 8.000 metros cuadrados y la inversión de Stockmann en el proyecto tendrá un precio de alrededor de 12 millones de euros .,es
positive,Los ingresos por circulación han aumentado un 5 % en Finlandia y un 4 % en Suecia en 2008 .,es
negative,$SAP Q1 decepciona como # licencias de software hacia abajo. ¿Problema real? #Cloud crecimiento senderos $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,es
positive,"La subdivisión obtuvo ingresos de ventas el año pasado por valor de 480,7 millones de euros , 414,9 millones de euros en 2008 , y beneficios de explotación por valor de 44,5 millones de euros , 7,4 millones de euros .",es
neutral,Viking Line ha cancelado algunos servicios.,es
