sentence,labels,lang
"Die GeoSolutions-Technologie wird die GPS-Lösungen von Benefon nutzen , indem sie standortbasierte Suchtechnologien , eine Communitys-Plattform , ortsrelevante Multimedia-Inhalte und ein neues und leistungsfähiges kommerzielles Modell bereitstellt .",1,de
"$ESI auf Tiefs, unter $1,50 bis $2,50 BK eine echte Möglichkeit",2,de
"Für das letzte Quartal 2010 verdoppelte sich der Nettoumsatz von Componenta im gleichen Zeitraum des Vorjahres auf 131 Mio EUR von 76 Mio EUR , während er aus einem Verlust vor Steuern in Höhe von 7 Mio EUR auf ein Null-Vorsteuerergebnis umgestellt wurde .",1,de
Nach Angaben der Finnisch-Russischen Handelskammer sind alle großen Bauunternehmen Finnlands in Russland tätig .,0,de
"Die schwedische Buyout-Firma hat ihre restlichen 22,4 Prozent-Beteiligung verkauft , fast achtzehn Monate nach der Übernahme des Unternehmens in Finnland .",0,de
"$SPY wäre nicht überrascht, ein grünes Ende zu sehen",1,de
Shell's $70 Milliarden BG Deal trifft Aktionär Skeptizismus,2,de
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OKTOBER 14 , 2008 um 14:45 Uhr Das Unternehmen aktualisiert seinen Gesamtjahresausblick und schätzt seine Ergebnisse für das Gesamtjahr auf Verlust.",2,de
Der Nettoumsatz von Kone stieg in den ersten neun Monaten 2008 um rund 14 % gegenüber dem Vorjahr .,1,de
Das Kaufhaus Stockmann wird eine Gesamtfläche von über 8.000 Quadratmetern haben und die Investition von Stockmann in das Projekt wird ein Preisschild von rund 12 Millionen Euro haben .,0,de
Die Auflageeinnahmen sind 2008 in Finnland um 5 % und in Schweden um 4 % gestiegen .,1,de
$SAP Q1 enttäuscht als #Software-Lizenzen herunter. Echtes Problem? #Cloud-Wachstumspfade $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,2,de
"Die Unterteilung erzielte im vergangenen Jahr Umsatzerlöse von EUR 480,7 Mio . EUR 414,9 Mio . im Jahr 2008 und operatives Ergebnis von EUR 44,5 Mio . EUR 7,4 Mio .",1,de
Viking Line hat einige Dienste storniert .,0,de
Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 Insgesamt wurden 56.955 neue Aktien der Ahlstrom Corporation mit Optionsrechten im Rahmen der Aktienoptionsprogramme I 2001 und II 2001 gezeichnet .,0,de
$FB wurde grün am Tag,1,de
$MSFT SQL Server Umsatz wuchs zweistellig mit SQL Server Premium Umsatz steigt über 30% http://stks.co/ir2F,1,de
"Laut L+ñnnen Tehtaat's CEO Matti Karppinen, das Unternehmen zielt darauf ab, Fischprodukte an seine Kunden einen Tag früher zu liefern, als es derzeit tut.",0,de
Die Aktie des Unternehmens wird auf NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS notiert .,0,de
Elcoteq SE ist an der Nasdaq OMX Helsinki Ltd. notiert.,0,de
"Zwei dieser Verträge sind für Drehscheibe Anode Vibrocompactors, die an Gansu Hualu Aluminium Co Ltd und einen anderen unbenannten Kunden geliefert werden.",0,de
"Aviva, Friends Life Top-Prognosen vor 5,6 Milliarden Pfund Fusion",1,de
"Statt auf einem Softdrink basierend zu sein, wie es üblich ist, wird das Teho Energydrink mit frischem Wasser hergestellt.",0,de
"Das Unternehmen plant , das Fachpersonal der Einheit auf mehrere Dutzend zu erhöhen -- abhängig von der Marktsituation im Jahr 2010 .",0,de
Das Unternehmen schloss im vergangenen Jahr mit einem Umsatz von rund vier Millionen Euro .,0,de
"Shire CEO Schritte nach oben Antrieb, um Baxalta Board sprechen",1,de
Costco: Ein Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,1,de
"Das fünfgeschossige, ökoeffiziente Gebäude wird eine Bruttogeschossfläche von etwa 15.000 qm haben. Es wird auch Wohnungen umfassen.",0,de
"Der erste Teil der Cinema Series endet mit einem Profil des finnischen Erfinders Olavi Linden , dessen persönliche künstlerische Reise und Arbeit bei Fiskars zu Dutzenden von Designpreisen geführt hat .",0,de
Alle sind willkommen.,0,de
"Stockmann und das schwedische Sektorunternehmen AB Lindex schlossen am 30 . September 2007 eine Vereinbarung , wonach Stockmann oder eine hundertprozentige Tochtergesellschaft davon ein öffentliches Angebot für alle ausgegebenen Aktien von Lindex machen wird .",1,de
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Der Kapitalmarkttag von Huhtamaki für institutionelle Anleger und Analysten findet in Espoo , 16. September 2008 , ab 13.30 Uhr finnischer Zeit statt .",0,de
