sentiment,sentence,lang
positive,"La technologie GeoSolutions tirera parti des solutions GPS de Benefon en fournissant une technologie de recherche basée sur la localisation , une plate-forme communautaire , un contenu multimédia pertinent et un modèle commercial nouveau et puissant .",fr
negative,"$ESI sur les bas, en baisse de 1,50 $ à 2,50 $ BK une possibilité réelle",fr
positive,"Au cours du dernier trimestre de 2010 , les ventes nettes de Componenta ont doublé , passant de 76 millions d' euros à 131 millions d' euros pour la même période un an plus tôt , alors qu' elles sont passées à un bénéfice avant impôt nul provenant d' une perte avant impôt de 7 millions d' euros .",fr
neutral,"Selon la Chambre de commerce finnoise-russe , toutes les grandes entreprises de construction finlandaises opèrent en Russie .",fr
neutral,"La société suédoise de rachat a vendu sa participation restante de 22,4 pour cent , près de dix-huit mois après avoir pris la société publique en Finlande .",fr
positive,$SPY ne serait pas surpris de voir une fermeture verte,fr
negative,Shell's 70 milliards de dollars BG Deal rencontre le scepticisme des actionnaires,fr
negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE LIBERATION OCTOBRE 14 , 2008 14:45 La Société met à jour ses perspectives de l'année entière et estime ses résultats à perte pour l'année entière .",fr
positive,Les ventes nettes de Kone ont augmenté d' environ 14 % sur un an au cours des neuf premiers mois de 2008 .,fr
neutral,Le grand magasin Stockmann aura une superficie totale de plus de 8 000 mètres carrés et l'investissement de Stockmann dans le projet aura un prix d'environ 12 millions d'euros.,fr
positive,Les recettes de circulation ont augmenté de 5 % en Finlande et de 4 % en Suède en 2008 .,fr
negative,$SAP Q1 déçoit que les licences #software baissent. Problème réel? #Clud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,fr
positive,"La subdivision a réalisé un chiffre d' affaires de 480,7 millions d' euros l' année dernière , soit 414,9 millions d' euros , et un bénéfice opérationnel de 44,5 millions d' euros 7,4 millions d' euros .",fr
neutral,Viking Line a annulé certains services.,fr
neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNONCE 7.2.2007 à 10.30 Au total, 56 955 nouvelles actions d'Ahlstrom Corporation ont été souscrites avec des droits d'option dans le cadre des programmes d'options d'achat d'actions I 2001 et II 2001 de la société.",fr
positive,$FB devenu vert le jour,fr
positive,Les revenus de SQL Server $MSFT ont augmenté à deux chiffres avec les revenus de SQL Server Premium augmentant à plus de 30% http://stks.co/ir2F,fr
neutral,"Selon le PDG de L+ñnnen Tehtaat Matti Karppinen , la société vise à livrer des produits de poisson à ses clients un jour plus tôt qu'elle ne le fait actuellement .",fr
neutral,La part de la société est cotée sur NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,fr
neutral,Elcoteq SE est inscrit sur la liste de Nasdaq OMX Helsinki Ltd.,fr
neutral,Deux de ces contrats sont pour les vibrocompresseurs d'anode tournant qui seront livrés à Gansu Hualu Aluminium Co Ltd et un autre costumer sans nom.,fr
positive,"Aviva, Friends Life prévoit le meilleur avant la fusion de 5,6 milliards de livres",fr
neutral,"Au lieu d'être basé sur une boisson gazeuse, comme d'habitude, la boisson énergétique Teho est faite avec de l'eau douce.",fr
